epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,979.565,1.46302,0.99828,0.01598,0.82512,0.79693,0.78088,0.3788,1.82497,1.26442,0.02702,0.000960682,0.000960682,0.000960682
43,1001.26,1.47144,1.0043,0.01469,0.82264,0.79751,0.77265,0.3436,1.89341,1.2442,0.02751,0.000957015,0.000957015,0.000957015
44,1022.94,1.44311,0.98681,0.01516,0.82933,0.78026,0.82332,0.42532,1.75736,1.17749,0.02468,0.000953349,0.000953349,0.000953349
45,1044.67,1.45458,1.04068,0.01563,0.78283,0.83985,0.79968,0.39591,1.78869,1.14114,0.02461,0.000949683,0.000949683,0.000949683
46,1066.34,1.45638,0.99108,0.01413,0.83279,0.80611,0.7956,0.3863,1.79175,1.13744,0.02564,0.000946016,0.000946016,0.000946016
47,1088.06,1.38637,0.98921,0.01453,0.81485,0.81408,0.8015,0.37939,1.81462,1.1837,0.02575,0.00094235,0.00094235,0.00094235
48,1109.8,1.38757,0.95609,0.01361,0.84892,0.76008,0.7891,0.39797,1.76063,1.22303,0.02498,0.000938684,0.000938684,0.000938684
49,1131.58,1.4324,1.00707,0.01471,0.80302,0.781,0.7737,0.39226,1.77969,1.29652,0.02622,0.000935018,0.000935018,0.000935018
50,1153.25,1.34597,0.96891,0.01397,0.76798,0.77566,0.78426,0.40169,1.73899,1.27151,0.02378,0.000931351,0.000931351,0.000931351
51,1174.92,1.3725,0.94609,0.01419,0.80507,0.76748,0.785,0.40467,1.70007,1.14671,0.02374,0.000927685,0.000927685,0.000927685
52,1196.6,1.36573,0.92977,0.01444,0.77324,0.82697,0.79739,0.38398,1.8065,1.16646,0.02608,0.000924019,0.000924019,0.000924019
53,1218.29,1.32883,0.98764,0.01449,0.82335,0.77302,0.77933,0.37114,1.83422,1.18524,0.02499,0.000920352,0.000920352,0.000920352
54,1239.95,1.32221,0.92312,0.01384,0.81605,0.82596,0.81215,0.37724,1.83959,1.10816,0.02706,0.000916686,0.000916686,0.000916686
55,1261.59,1.37386,0.92471,0.015,0.78485,0.7864,0.78443,0.38727,1.76432,1.16678,0.02472,0.00091302,0.00091302,0.00091302
56,1283.27,1.39838,0.95532,0.01445,0.82836,0.77506,0.80654,0.39608,1.79297,1.25666,0.02617,0.000909353,0.000909353,0.000909353
57,1304.92,1.33401,0.95006,0.01311,0.80014,0.77819,0.80025,0.41,1.70552,1.22879,0.02422,0.000905687,0.000905687,0.000905687
58,1326.66,1.29455,0.92926,0.0132,0.82078,0.74623,0.76529,0.37263,1.7628,1.27005,0.02558,0.000902021,0.000902021,0.000902021
59,1348.35,1.30051,0.88692,0.01327,0.81498,0.78538,0.77651,0.39688,1.77006,1.15424,0.02466,0.000898355,0.000898355,0.000898355
60,1370.02,1.30472,0.87234,0.01303,0.77295,0.80631,0.76712,0.39035,1.74076,1.11472,0.02515,0.000894688,0.000894688,0.000894688
61,1391.77,1.30761,0.8753,0.01421,0.77523,0.79076,0.76833,0.37472,1.79475,1.15478,0.02705,0.000891022,0.000891022,0.000891022
62,1413.5,1.33452,0.92772,0.01357,0.84355,0.78318,0.79953,0.38112,1.76638,1.16975,0.02604,0.000887356,0.000887356,0.000887356
