epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15885,1.31624,1.01578,1.42597,0.82453,0.16869,0.1788,0.10333,1.38978,0.99939,1.54709,0.000810363,0.000810363,0.000810363
43,16152,1.27635,0.94954,1.37999,0.83722,0.14525,0.16014,0.09385,1.37039,0.97569,1.53155,0.000803031,0.000803031,0.000803031
44,16375.3,1.28446,0.96965,1.39578,0.84716,0.17944,0.19632,0.11714,1.31399,0.94231,1.48636,0.000795698,0.000795698,0.000795698
45,16631.2,1.28695,0.96158,1.37775,0.81595,0.17819,0.19456,0.12082,1.32466,0.97214,1.4766,0.000788366,0.000788366,0.000788366
46,16907.7,1.25741,0.9289,1.3902,0.77566,0.15358,0.17134,0.10555,1.28824,1.04528,1.44975,0.000781033,0.000781033,0.000781033
47,17157,1.25814,0.95619,1.42915,0.76969,0.17617,0.19076,0.11481,1.30913,0.95459,1.48321,0.0007737,0.0007737,0.0007737
48,17437.6,1.23278,0.94692,1.37686,0.76299,0.19806,0.20557,0.12429,1.30297,0.94118,1.46503,0.000766368,0.000766368,0.000766368
49,17779.7,1.25485,0.90298,1.36686,0.80511,0.16397,0.17725,0.10864,1.28567,0.92877,1.43447,0.000759035,0.000759035,0.000759035
50,18125,1.21891,0.9036,1.37554,0.7989,0.19145,0.21125,0.13251,1.21081,0.90485,1.40292,0.000751703,0.000751703,0.000751703
51,18459,1.20446,0.91394,1.36583,0.79707,0.1931,0.21733,0.13618,1.19083,0.92679,1.39388,0.00074437,0.00074437,0.00074437
52,18864.9,1.2043,0.91205,1.35201,0.85371,0.16736,0.1935,0.12344,1.18272,0.90508,1.40069,0.000737037,0.000737037,0.000737037
53,19297.3,1.17312,0.86269,1.34072,0.88591,0.19822,0.22651,0.1437,1.18661,0.85715,1.38662,0.000729705,0.000729705,0.000729705
54,19697.7,1.19178,0.87949,1.35766,0.92525,0.26327,0.28812,0.18622,1.20209,0.85273,1.38673,0.000722372,0.000722372,0.000722372
55,20104.9,1.2091,0.90414,1.34073,0.90828,0.18886,0.20989,0.13954,1.13873,0.84165,1.35103,0.00071504,0.00071504,0.00071504
56,20526.9,1.19511,0.84817,1.33321,0.90231,0.2581,0.28134,0.18726,1.14935,0.82535,1.36356,0.000707707,0.000707707,0.000707707
57,21020,1.17435,0.83428,1.36121,0.90601,0.2395,0.26265,0.17136,1.16173,0.80858,1.35906,0.000700374,0.000700374,0.000700374
58,21489,1.14275,0.81672,1.29678,0.91904,0.3341,0.42315,0.32184,1.09224,0.78534,1.31239,0.000693042,0.000693042,0.000693042
59,21975.6,1.1997,0.86513,1.3489,0.88783,0.24216,0.25819,0.16878,1.16076,0.77895,1.37884,0.000685709,0.000685709,0.000685709
60,22396.3,1.16753,0.83514,1.32388,0.9058,0.34473,0.36291,0.2474,1.08147,0.77082,1.29594,0.000678377,0.000678377,0.000678377
61,22897.6,1.13609,0.81585,1.2913,0.92223,0.42046,0.49784,0.36864,1.07363,0.75978,1.29411,0.000671044,0.000671044,0.000671044
62,23409.3,1.14776,0.79071,1.29606,0.88778,0.35015,0.37384,0.25127,1.10863,0.75494,1.32955,0.000663711,0.000663711,0.000663711
63,23971.7,1.1059,0.76734,1.2604,0.85561,0.19268,0.23078,0.15989,1.09402,0.73523,1.3292,0.000656379,0.000656379,0.000656379
