epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,208.465,1.45396,1.19505,1.5867,0.87159,0.881,0.91298,0.44218,1.70535,0.94354,1.73377,0.000810363,0.000810363,0.000810363
43,213.16,1.44659,1.18631,1.58459,0.88656,0.88196,0.91656,0.42375,1.79396,0.95848,1.81386,0.000803031,0.000803031,0.000803031
44,217.851,1.43551,1.11841,1.54791,0.85007,0.89016,0.91005,0.48913,1.56682,0.90507,1.63284,0.000795698,0.000795698,0.000795698
45,222.558,1.47418,1.18535,1.62664,0.85973,0.87279,0.89402,0.45361,1.63293,0.94546,1.66708,0.000788366,0.000788366,0.000788366
46,227.271,1.4523,1.10902,1.57462,0.87716,0.89725,0.91643,0.49369,1.52497,0.92766,1.63564,0.000781033,0.000781033,0.000781033
47,231.996,1.46685,1.18642,1.60156,0.87448,0.89063,0.90451,0.47991,1.54373,0.96324,1.62248,0.0007737,0.0007737,0.0007737
48,236.681,1.43655,1.12633,1.57624,0.88372,0.89445,0.91384,0.43029,1.74335,0.95488,1.75002,0.000766368,0.000766368,0.000766368
49,241.365,1.40351,1.09879,1.54411,0.88536,0.90701,0.91315,0.49205,1.53776,0.8982,1.60567,0.000759035,0.000759035,0.000759035
50,246.088,1.4807,1.14593,1.55787,0.8994,0.91268,0.92452,0.45352,1.68471,0.9028,1.70752,0.000751703,0.000751703,0.000751703
51,250.754,1.41153,1.09174,1.55403,0.89014,0.90606,0.92144,0.42388,1.7966,0.93719,1.7573,0.00074437,0.00074437,0.00074437
52,255.563,1.41562,1.08264,1.54461,0.90302,0.90263,0.92798,0.49176,1.56166,0.85959,1.6022,0.000737037,0.000737037,0.000737037
53,260.243,1.40902,1.06556,1.55312,0.91547,0.92064,0.93528,0.45025,1.7155,0.88687,1.71076,0.000729705,0.000729705,0.000729705
54,264.946,1.38743,1.08031,1.54223,0.90315,0.89783,0.92568,0.47788,1.59826,0.88123,1.6353,0.000722372,0.000722372,0.000722372
55,269.594,1.40867,1.06854,1.53405,0.86906,0.86587,0.88564,0.4392,1.68257,0.93575,1.69635,0.00071504,0.00071504,0.00071504
56,274.279,1.38779,1.05895,1.51726,0.8934,0.92831,0.93704,0.49591,1.56244,0.82484,1.62868,0.000707707,0.000707707,0.000707707
57,278.989,1.39646,1.05934,1.55458,0.90317,0.93748,0.94296,0.50612,1.56174,0.8058,1.6297,0.000700374,0.000700374,0.000700374
58,283.718,1.42216,1.08101,1.55145,0.91628,0.9149,0.93481,0.48433,1.63397,0.84137,1.67366,0.000693042,0.000693042,0.000693042
59,288.406,1.36905,1.03018,1.53144,0.89712,0.91658,0.94062,0.5111,1.54297,0.82098,1.60591,0.000685709,0.000685709,0.000685709
60,293.107,1.37623,1.04339,1.4997,0.89489,0.89231,0.91962,0.49628,1.53101,0.8488,1.60311,0.000678377,0.000678377,0.000678377
61,297.771,1.399,1.05449,1.57654,0.89196,0.90815,0.93471,0.49199,1.59696,0.86662,1.6532,0.000671044,0.000671044,0.000671044
62,302.467,1.38109,1.04153,1.51386,0.89035,0.91485,0.94466,0.52639,1.48298,0.81718,1.58687,0.000663711,0.000663711,0.000663711
63,307.148,1.35736,1.00502,1.51827,0.89877,0.90437,0.93599,0.51197,1.518,0.8154,1.5792,0.000656379,0.000656379,0.000656379
64,311.84,1.31342,0.96499,1.46545,0.87295,0.93415,0.93435,0.53342,1.45258,0.79642,1.57071,0.000649046,0.000649046,0.000649046
65,316.533,1.34168,1.02688,1.48907,0.88629,0.93934,0.94027,0.53587,1.45119,0.7847,1.55974,0.000641714,0.000641714,0.000641714
66,321.22,1.35422,0.97357,1.48899,0.91789,0.92531,0.94608,0.52825,1.50069,0.77736,1.56209,0.000634381,0.000634381,0.000634381
67,325.985,1.32979,0.99566,1.46258,0.90829,0.89398,0.94216,0.54576,1.45357,0.82861,1.53273,0.000627048,0.000627048,0.000627048
68,330.687,1.32109,0.9902,1.49474,0.91875,0.91691,0.94551,0.50842,1.5794,0.79781,1.61585,0.000619716,0.000619716,0.000619716
69,335.376,1.31811,0.97748,1.45908,0.91597,0.92801,0.94169,0.54224,1.42085,0.76691,1.51871,0.000612383,0.000612383,0.000612383
70,340.075,1.30138,0.94941,1.45098,0.91022,0.91202,0.93141,0.52476,1.47825,0.79766,1.54431,0.000605051,0.000605051,0.000605051
71,344.761,1.32233,0.94658,1.44927,0.91966,0.92829,0.94894,0.52161,1.49439,0.78043,1.55944,0.000597718,0.000597718,0.000597718
72,349.495,1.34494,0.96976,1.48218,0.91783,0.92965,0.96262,0.57021,1.35764,0.75327,1.47623,0.000590385,0.000590385,0.000590385
73,354.225,1.30044,0.9483,1.44312,0.92222,0.93429,0.96253,0.53811,1.46911,0.76945,1.55194,0.000583053,0.000583053,0.000583053
74,358.929,1.3253,0.92508,1.47498,0.93613,0.92423,0.96061,0.56675,1.3914,0.75433,1.50847,0.00057572,0.00057572,0.00057572
75,363.637,1.27898,0.87938,1.42982,0.93437,0.93401,0.96076,0.57512,1.35698,0.72423,1.47656,0.000568388,0.000568388,0.000568388
76,368.336,1.28054,0.90772,1.45431,0.94721,0.92582,0.96949,0.52115,1.59382,0.76476,1.65239,0.000561055,0.000561055,0.000561055
77,373.003,1.31561,0.91497,1.46678,0.93535,0.93715,0.96325,0.53708,1.48383,0.76236,1.55509,0.000553722,0.000553722,0.000553722
78,377.682,1.29505,0.91927,1.46573,0.93887,0.94883,0.96186,0.53673,1.46037,0.74983,1.52097,0.00054639,0.00054639,0.00054639
79,382.361,1.28135,0.8926,1.4403,0.93046,0.95132,0.95868,0.48673,1.6887,0.77773,1.67359,0.000539057,0.000539057,0.000539057
80,387.03,1.26012,0.88569,1.43951,0.93802,0.95177,0.96803,0.57329,1.41343,0.7082,1.53148,0.000531725,0.000531725,0.000531725
81,391.812,1.26768,0.8867,1.44063,0.93295,0.95068,0.96744,0.55701,1.45809,0.72969,1.50697,0.000524392,0.000524392,0.000524392
82,396.521,1.27452,0.8998,1.43265,0.93357,0.95722,0.96728,0.58115,1.33977,0.68553,1.4571,0.000517059,0.000517059,0.000517059
83,401.236,1.27712,0.87426,1.45056,0.9457,0.9491,0.96669,0.54987,1.45659,0.71115,1.54349,0.000509727,0.000509727,0.000509727
84,405.939,1.2477,0.89756,1.45366,0.9428,0.95038,0.9706,0.56362,1.42835,0.69922,1.51937,0.000502394,0.000502394,0.000502394
85,410.65,1.21896,0.85556,1.41416,0.92887,0.95308,0.96882,0.58875,1.33893,0.69255,1.45096,0.000495062,0.000495062,0.000495062
86,415.367,1.24869,0.9158,1.44258,0.94542,0.93886,0.97146,0.57549,1.3852,0.69094,1.48036,0.000487729,0.000487729,0.000487729
87,420.065,1.2067,0.84718,1.40055,0.94541,0.95056,0.97181,0.60043,1.30879,0.66399,1.45182,0.000480396,0.000480396,0.000480396
88,424.766,1.28277,0.87126,1.45968,0.94855,0.95177,0.97401,0.58769,1.34953,0.65747,1.46106,0.000473064,0.000473064,0.000473064
89,429.452,1.22609,0.84044,1.42519,0.96244,0.94705,0.97465,0.60592,1.28596,0.64501,1.41805,0.000465731,0.000465731,0.000465731
90,434.163,1.20714,0.81886,1.37433,0.95511,0.95476,0.97561,0.60125,1.31201,0.65121,1.42937,0.000458399,0.000458399,0.000458399
91,438.833,1.22605,0.85037,1.4223,0.94975,0.94944,0.97359,0.5849,1.37296,0.67058,1.44364,0.000451066,0.000451066,0.000451066
92,443.63,1.20264,0.83709,1.37542,0.94529,0.94203,0.97364,0.59793,1.32003,0.66026,1.41433,0.000443733,0.000443733,0.000443733
93,448.317,1.2351,0.83142,1.40298,0.93048,0.95463,0.97342,0.60965,1.25318,0.6516,1.39925,0.000436401,0.000436401,0.000436401
94,453.044,1.19547,0.85012,1.40328,0.94983,0.95588,0.97218,0.57568,1.37723,0.67406,1.46008,0.000429068,0.000429068,0.000429068
95,457.722,1.21616,0.82303,1.38087,0.94891,0.95524,0.97406,0.5877,1.35156,0.66049,1.4381,0.000421736,0.000421736,0.000421736
96,462.409,1.21204,0.85457,1.39503,0.94198,0.9599,0.97518,0.62237,1.25835,0.62953,1.39559,0.000414403,0.000414403,0.000414403
97,467.119,1.21457,0.83461,1.40852,0.95283,0.96285,0.97734,0.62085,1.26723,0.62914,1.40013,0.00040707,0.00040707,0.00040707
98,471.821,1.20031,0.83217,1.38329,0.96372,0.96279,0.97944,0.62021,1.24477,0.63947,1.38358,0.000399738,0.000399738,0.000399738
99,476.503,1.18913,0.82669,1.3546,0.96293,0.95796,0.97761,0.63006,1.22342,0.62149,1.38219,0.000392405,0.000392405,0.000392405
100,481.208,1.18575,0.82665,1.3907,0.96047,0.95302,0.97625,0.5761,1.40969,0.65149,1.47638,0.000385073,0.000385073,0.000385073
101,485.907,1.21069,0.82408,1.37039,0.95566,0.95648,0.97953,0.63389,1.22304,0.61425,1.3732,0.00037774,0.00037774,0.00037774
102,490.625,1.16456,0.81041,1.38304,0.95743,0.95202,0.97794,0.63358,1.21472,0.62008,1.35906,0.000370407,0.000370407,0.000370407
103,495.301,1.15205,0.78789,1.36295,0.94717,0.96444,0.9793,0.60075,1.32125,0.63521,1.40408,0.000363075,0.000363075,0.000363075
104,500.006,1.20723,0.83146,1.40846,0.95816,0.95883,0.97882,0.6268,1.23054,0.61443,1.39295,0.000355742,0.000355742,0.000355742
105,504.713,1.14744,0.78776,1.35188,0.96613,0.96515,0.97885,0.64401,1.17759,0.59806,1.36144,0.00034841,0.00034841,0.00034841
106,509.438,1.18218,0.80761,1.37268,0.96217,0.96534,0.97744,0.61435,1.27532,0.61622,1.38264,0.000341077,0.000341077,0.000341077
107,514.124,1.18844,0.80985,1.39424,0.95572,0.96757,0.98284,0.64908,1.17495,0.6004,1.32503,0.000333744,0.000333744,0.000333744
108,518.931,1.16378,0.78385,1.3602,0.97116,0.96337,0.98407,0.65819,1.15896,0.58749,1.30937,0.000326412,0.000326412,0.000326412
109,523.622,1.12012,0.76528,1.34272,0.97425,0.95779,0.98134,0.65305,1.17724,0.58638,1.32396,0.000319079,0.000319079,0.000319079
110,528.332,1.15471,0.78322,1.3429,0.96354,0.95961,0.97989,0.65325,1.16188,0.58236,1.32201,0.000311747,0.000311747,0.000311747
111,533.028,1.13364,0.76885,1.33283,0.9623,0.96106,0.97845,0.61834,1.26569,0.60851,1.37041,0.000304414,0.000304414,0.000304414
112,537.742,1.15487,0.7768,1.37725,0.9605,0.9715,0.98228,0.64676,1.19105,0.58758,1.32226,0.000297081,0.000297081,0.000297081
113,542.44,1.12173,0.78735,1.35766,0.95676,0.96784,0.97904,0.6003,1.3396,0.61638,1.397,0.000289749,0.000289749,0.000289749
114,547.136,1.13576,0.78846,1.35573,0.96341,0.96392,0.98138,0.57497,1.42298,0.62766,1.46867,0.000282416,0.000282416,0.000282416
115,551.82,1.11355,0.74793,1.32854,0.95865,0.96429,0.98231,0.62205,1.27232,0.59773,1.37892,0.000275084,0.000275084,0.000275084
116,556.536,1.13456,0.78376,1.37646,0.95767,0.96186,0.98351,0.63971,1.21205,0.58512,1.32168,0.000267751,0.000267751,0.000267751
117,561.211,1.07368,0.71079,1.29665,0.96208,0.96408,0.98117,0.64174,1.19758,0.58044,1.31812,0.000260418,0.000260418,0.000260418
118,565.939,1.15269,0.76767,1.34668,0.96295,0.96113,0.98323,0.64642,1.18342,0.58044,1.33688,0.000253086,0.000253086,0.000253086
119,570.742,1.11248,0.73644,1.32863,0.96268,0.96687,0.98422,0.65489,1.16022,0.56882,1.30796,0.000245753,0.000245753,0.000245753
120,575.456,1.1145,0.75018,1.33424,0.96179,0.96613,0.9844,0.64851,1.18112,0.57555,1.30296,0.000238421,0.000238421,0.000238421
121,580.155,1.1215,0.78345,1.35413,0.96,0.96922,0.98572,0.66706,1.13034,0.5617,1.28725,0.000231088,0.000231088,0.000231088
122,584.892,1.05844,0.72441,1.29751,0.95108,0.97966,0.9882,0.65262,1.17551,0.56972,1.31553,0.000223755,0.000223755,0.000223755
123,589.594,1.14872,0.77649,1.3527,0.94883,0.97902,0.98623,0.625,1.27126,0.59172,1.35248,0.000216423,0.000216423,0.000216423
124,594.307,1.07871,0.74138,1.29753,0.953,0.9757,0.98521,0.67838,1.08036,0.55222,1.25234,0.00020909,0.00020909,0.00020909
125,599.05,1.11675,0.73775,1.30429,0.96253,0.96813,0.98367,0.69586,1.04312,0.54735,1.24264,0.000201758,0.000201758,0.000201758
126,603.781,1.10505,0.74396,1.315,0.9622,0.9751,0.98472,0.66698,1.13634,0.55925,1.27749,0.000194425,0.000194425,0.000194425
127,608.473,1.13391,0.75789,1.34187,0.96224,0.9791,0.9835,0.63771,1.2418,0.57783,1.33998,0.000187092,0.000187092,0.000187092
128,613.156,1.11586,0.75747,1.34442,0.95783,0.98153,0.98733,0.68091,1.10175,0.55086,1.27936,0.00017976,0.00017976,0.00017976
129,617.816,1.09234,0.77752,1.31533,0.95961,0.97463,0.9873,0.68765,1.079,0.54952,1.26605,0.000172427,0.000172427,0.000172427
130,622.497,1.0386,0.70201,1.28154,0.96484,0.9662,0.9872,0.67917,1.10879,0.55233,1.26671,0.000165095,0.000165095,0.000165095
131,627.196,1.06318,0.74518,1.30111,0.96625,0.96943,0.98616,0.68318,1.09823,0.54705,1.25236,0.000157762,0.000157762,0.000157762
132,631.908,1.05622,0.72411,1.30663,0.96961,0.96541,0.98678,0.68716,1.09244,0.54283,1.24951,0.000150429,0.000150429,0.000150429
133,636.673,1.0335,0.70836,1.26305,0.96917,0.97307,0.98777,0.6762,1.12859,0.54841,1.2644,0.000143097,0.000143097,0.000143097
134,641.378,1.05188,0.71872,1.28297,0.97988,0.96957,0.98656,0.658,1.181,0.55708,1.29517,0.000135764,0.000135764,0.000135764
135,646.062,1.06047,0.714,1.28924,0.97802,0.96902,0.98767,0.66644,1.14641,0.55242,1.27797,0.000128432,0.000128432,0.000128432
